14103,"ｴﾇ･ﾃｲ･ﾃｲﾃﾞ-ﾀﾂｳｼﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＮＴＴデータ通信　株式会社","神奈川県","横浜市西区","北幸","２丁目１１－６","2208511","220  ","横浜中央",0,0,5
14103,"ｶﾅｶﾞﾜ ﾆﾂｻﾝｼﾞﾄﾞｳｼﾔ ｶﾌﾞｼｷｶﾞｲｼﾔ","神奈川　日産自動車　株式会社","神奈川県","横浜市西区","花咲町","６丁目１３９番地","2208523","220  ","横浜中央",0,0,5
14103,"ｶﾅｶﾞﾜｹﾝ ｼﾝﾖｳﾎｼﾖｳｷﾖｳｶｲ","神奈川県　信用保証協会","神奈川県","横浜市西区","桜木町","６丁目３５－１","2208558","220  ","横浜中央",0,0,5
14103,"ｶﾅｶﾞﾜｹﾝﾘﾂ ﾄｼﾖｶﾝ","神奈川県立　図書館","神奈川県","横浜市西区","紅葉ケ丘","９－２","2208585","220  ","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶｲｼﾔ ｼﾝｸﾛﾝ","株式会社　シンクロン","神奈川県","横浜市西区","みなとみらい","４丁目３－５","2208680","220  ","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｴﾇ･ﾃｲ･ﾃｲ･ﾄﾞｺﾓ ｶﾅｶﾞﾜｼﾃﾝ","株式会社　エヌ・ティ・ティ・ドコモ　神奈川支店","神奈川県","横浜市西区","みなとみらい","４丁目７－３横浜メディアタワー","2208536","220  ","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｸｲ-ﾝｽﾞｲ-ｽﾄ","株式会社　クイーンズイースト","神奈川県","横浜市西区","みなとみらい","２丁目３番２号","2208542","220  ","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼｽﾃﾑｼﾞﾖｳﾎｳｾﾝﾀ-","株式会社　システム情報センター","神奈川県","横浜市西区","花咲町","７丁目１５８－２ＳＩＣ横浜ビル","2208541","220  ","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｿｺﾞｳ ﾖｺﾊﾏﾃﾝ","株式会社　そごう　横浜店","神奈川県","横浜市西区","高島","２丁目１８－１","2208510","220  ","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾋﾟ-ｴﾌﾕ-","株式会社　ＰＦＵ","神奈川県","横浜市西区","みなとみらい","４－４－５横浜アイマークプレイス","2208567","220  ","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏｲｶﾙ ﾖｺﾊﾏﾋﾞﾌﾞﾚ","株式会社　マイカル　横浜ビブレ","神奈川県","横浜市西区","南幸","２丁目１５－１３","2208577","220  ","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾔﾏｶﾞﾀｲﾝｻﾂｼﾞﾖ","株式会社　山縣印刷所","神奈川県","横浜市西区","高島","２丁目６－３４","2208515","220  ","横浜中央",0,0,5
14103,"ｺｸｻｲﾚﾝｺﾞｳﾀﾞｲｶﾞｸｺｳﾄｳｹﾝｷﾕｳｼﾞﾖ","国際連合大学高等研究所","神奈川県","横浜市西区","みなとみらい","１丁目１－１パシィフィコ横浜国際協力センター６Ｆ","2208502","220  ","横浜中央",0,0,5
14103,"ｻﾞｲﾀﾞﾝﾎｳｼﾞﾝ ｶﾅｶﾞﾜｹﾝｹｲﾕｳｶｲ ｹｲﾕｳﾋﾞﾖｳｲﾝ","財団法人　神奈川県警友会　けいゆう病院","神奈川県","横浜市西区","みなとみらい","３丁目７－３","2208521","220  ","横浜中央",0,0,5
14103,"ｻﾞｲﾀﾞﾝﾎｳｼﾞﾝ ｶﾅｶﾞﾜｹﾝｺｳﾄｳｶﾞﾂｺｳｷﾖｳｲｸｶｲｶﾝ","財団法人　神奈川県高等学校教育会館","神奈川県","横浜市西区","藤棚町","２丁目１９７","2208566","220  ","横浜中央",0,0,5
14103,"ｼﾖｳｺｳﾁﾕｳｷﾝ ﾖｺﾊﾏﾆｼｸﾞﾁｼﾃﾝ","商工中金　横浜西口支店","神奈川県","横浜市西区","北幸","１丁目１１番１号（横浜中央郵便局私書箱第３１０号）","2208609","220  ","横浜中央",1,0,5
14103,"ｽﾐﾄﾓｽﾘ-ｴﾑ ｶﾌﾞｼｷｶﾞｲｼﾔ","住友スリーエム　株式会社","神奈川県","横浜市西区","みなとみらい","４－６－２みなとみらいグランドセントラルタワー","2208684","220  ","横浜中央",0,0,5
14103,"ﾀﾞｲﾜﾊｳｽｺｳｷﾞﾖｳ (ｶ) ﾖｺﾊﾏｼｼﾔ","大和ハウス工業　株式会社　横浜支社","神奈川県","横浜市西区","みなとみらい","３－６－１みなとみらいセンタービル１４階","2208620","220  ","横浜中央",0,0,5
14103,"ﾁﾖﾀﾞｶｺｳｹﾝｾﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ","千代田化工建設　株式会社","神奈川県","横浜市西区","みなとみらい","４－６－２みなとみらいグランドセントラルタワー","2208765","220  ","横浜中央",0,0,5
14103,"ﾄｳｷﾖｳｶｲｼﾞﾖｳﾆﾁﾄﾞｳｶｻｲﾎｹﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ","東京海上日動火災保険　株式会社","神奈川県","横浜市西区","みなとみらい","３丁目６－４","2208565","220  ","横浜中央",0,0,5
14103,"ﾄｳｷﾖｳﾃﾞﾝﾘﾖｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｼｼﾔ","東京電力　株式会社　横浜支社","神奈川県","横浜市西区","高島","２丁目７－３０","2208520","220  ","横浜中央",0,0,5
14103,"ﾄｳﾃﾞﾝﾄﾞｳｿｳﾃﾞﾝｷ ｶﾌﾞｼｷｶﾞｲｼﾔ","東電同窓電気　株式会社","神奈川県","横浜市西区","桜木町","７丁目４０－３","2208580","220  ","横浜中央",0,0,5
14103,"ﾆﾂｻﾝｼﾞﾄﾞｳｼﾔ ｶﾌﾞｼｷｶﾞｲｼﾔ","日産自動車　株式会社","神奈川県","横浜市西区","高島","１丁目１番１号","2208686","220  ","横浜中央",0,0,5
14103,"ﾌｼﾞｾﾞﾛﾂｸｽ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏﾐﾅﾄﾐﾗｲｼﾞｷﾞﾖｳｼﾖ","富士ゼロックス　株式会社　横浜みなとみらい事業所","神奈川県","横浜市西区","みなとみらい","６丁目１番","2208668","220  ","横浜中央",0,0,5
14103,"ﾌｼﾞｾﾞﾛﾂｸｽｱﾄﾞﾊﾞﾝｽﾄﾃｸﾉﾛｼﾞ- ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏﾐﾅﾄﾐﾗｲｼﾞｷﾞﾖｳｼﾖ","富士ゼロックスアドバンストテクノロジー　株式会社　横浜みなとみらい事業所","神奈川県","横浜市西区","みなとみらい","６丁目１番","2208678","220  ","横浜中央",0,0,5
14103,"ﾌｼﾞﾂｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾅｶﾞﾜｼｼﾔ","富士通　株式会社　神奈川支社","神奈川県","横浜市西区","高島","１－１－２（横浜三井ビルディング）","2208722","220  ","横浜中央",0,0,5
14103,"ﾌｼﾞﾂｳﾈﾂﾄﾜ-ｸｿﾘﾕ-ｼﾖﾝｽﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ","富士通ネットワークソリューションズ　株式会社","神奈川県","横浜市西区","高島","一丁目１番２号（横浜三井ビルディング）","2208711","220  ","横浜中央",0,0,5
14103,"ﾐｽﾞﾎｼﾝﾀｸｷﾞﾝｺｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｼﾃﾝ","みずほ信託銀行　株式会社　横浜支店","神奈川県","横浜市西区","北幸","１丁目６番１号","2208660","220  ","横浜中央",0,0,5
14103,"ﾐﾂｲｽﾐﾄﾓｼﾝﾀｸｷﾞﾝｺｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｼﾃﾝ","三井住友信託銀行　株式会社　横浜支店","神奈川県","横浜市西区","南幸","１丁目１４番１０号","2208653","220  ","横浜中央",0,0,5
14103,"ﾖｺﾊﾏｷﾞﾝｺｳﾊﾞﾝｸｶ-ﾄﾞ","横浜銀行バンクカード","神奈川県","横浜市西区","みなとみらい","３丁目１－１（横浜中央郵便局私書箱第３２８号）","2208615","220  ","横浜中央",1,0,5
14103,"ﾖｺﾊﾏｸﾞﾗﾝﾄﾞｲﾝﾀ-ｺﾝﾁﾈﾝﾀﾙﾎﾃﾙ","ヨコハマグランドインターコンチネンタルホテル","神奈川県","横浜市西区","みなとみらい","１丁目１－１","2208522","220  ","横浜中央",0,0,5
14103,"ﾖｺﾊﾏﾍﾞｲｼｴﾗﾄﾝﾎﾃﾙｱﾝﾄﾞﾀﾜ-ｽﾞ","横浜ベイシェラトンホテル＆タワーズ","神奈川県","横浜市西区","北幸","１丁目３番２３号","2208501","220  ","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏﾛｲﾔﾙﾊﾟ-ｸﾎﾃﾙ","株式会社　横浜ロイヤルパークホテル","神奈川県","横浜市西区","","みなとみらい二丁目２番１号","2208173","22081","横浜中央",0,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾀｶｼﾏﾔ ﾖｺﾊﾏﾃﾝ","株式会社　高島屋　横浜店","神奈川県","横浜市西区","南幸","１丁目６－３１（横浜中央郵便局私書箱第３０９号）","2208601","22091","横浜中央",1,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾊﾏｷﾞﾝｿｳｺﾞｳｹﾝｷﾕｳｼﾞﾖ","株式会社　浜銀総合研究所","神奈川県","横浜市西区","みなとみらい","３丁目１－１（横浜中央郵便局私書箱第３２８号）","2208616","22091","横浜中央",1,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｷﾞﾝｺｳ","株式会社　横浜銀行","神奈川県","横浜市西区","みなとみらい","３丁目１－１（横浜中央郵便局私書箱第３２８号）","2208611","22091","横浜中央",1,0,5
14103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾖｺﾊﾏｷﾞﾝｺｳ ﾎﾝﾃﾝｴｲｷﾞﾖｳﾌﾞ","株式会社　横浜銀行　本店営業部","神奈川県","横浜市西区","みなとみらい","３丁目１－１（横浜中央郵便局私書箱第３２８号）","2208612","22091","横浜中央",1,0,5
14103,"ﾊﾏｷﾞﾝﾌｱｲﾅﾝｽ","浜銀ファイナンス","神奈川県","横浜市西区","みなとみらい","３丁目１－１（横浜中央郵便局私書箱第３２８号）","2208613","22091","横浜中央",1,0,5
14103,"ﾖｺﾊﾏｼﾝﾖｳﾎｼﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","横浜信用保証　株式会社","神奈川県","横浜市西区","みなとみらい","３丁目１－１（横浜中央郵便局私書箱第３２８号）","2208614","22091","横浜中央",1,0,5
14104,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾅｶﾞﾜｼﾝﾌﾞﾝｼﾔ","株式会社　神奈川新聞社","神奈川県","横浜市中区","太田町","２丁目２３","2208588","231  ","横浜中央",0,1,5
14134,"ﾈﾂﾂｴｽｱｲﾄｳﾖｳ ｶﾌﾞｼｷｶｲｼﾔ","ネッツエスアイ東洋　株式会社","神奈川県","川崎市高津区","坂戸","３丁目２番１号かながわサイエンスパークＲ＆Ｄビジネスパークビル","2138545","213  ","高津",0,0,5
15205,"ｶﾌﾞｼｷｶｲｼﾔ ﾌﾞﾙﾎﾞﾝ","株式会社　ブルボン","新潟県","柏崎市","松波","４丁目２－１４（柏崎郵便局私書箱第２２号）","9458611","945  ","柏崎",1,0,5
16205,"ﾋﾐｸﾞﾗﾝﾄﾞﾎﾃﾙﾏｲｱﾐ","氷見グランドホテルマイアミ","富山県","氷見市","宇波","１０－１","9350492","93504","氷見",0,0,5
19201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾔﾄﾚ-ｾﾞ","株式会社　シャトレーゼ","山梨県","甲府市","下曽根町","３４４０－１","4001593","40015","中道",0,0,5
19201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾁﾛﾘ-ﾅ","株式会社　チロリーナ","山梨県","甲府市","下曽根町","３４０２－３","4001598","40015","中道",0,0,5
19201,"ｺｳﾌｼﾔｸｼﾖ ﾅｶﾐﾁｼｼﾖ","甲府市役所　中道支所","山梨県","甲府市","下曽根町","１０７０－３","4001592","40015","中道",0,0,5
19201,"ｺｳﾌｼ ｶﾐｸｲﾂｼｷｼﾕﾂﾁﾖｳｼﾞﾖ","甲府市　上九一色出張所","山梨県","甲府市","古関町","１１５８","4093792","40937","中道",0,0,5
19211,"ﾌｴﾌｷｼﾔｸｼﾖ ｱｼｶﾞﾜｼｼﾖ","笛吹市役所　芦川支所","山梨県","笛吹市","芦川町中芦川","５８５","4093793","40937","中道",0,0,5
