13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｿﾗｽﾄ","株式会社　ソラスト","東京都","港区","港南","１－７－１８ＤＢＣ品川東急ビル６Ｆ","1088210","108  ","高輪",0,0,1
13108,"ｴｽｼ-ｴｽｹｲ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＳＣＳＫ　株式会社","東京都","江東区","豊洲","３丁目２番２０号","1358110","135  ","晴海",0,0,1
13108,"ｴﾇｲｰｼｰｿﾌﾄ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＮＥＣソフト　株式会社","東京都","江東区","新木場","１丁目１８－６","1368608","136  ","城東",0,0,1
13111,"ﾆﾎﾝﾁﾖｳﾘｷ ｶﾌﾞｼｷｶﾞｲｼﾔ","日本調理機　株式会社","東京都","大田区","南蒲田","２丁目１６番１号","1448513","144  ","蒲田",0,0,1
13116,"ｲﾂﾊﾟﾝｼﾔﾀﾞﾝﾎｳｼﾞﾝ ﾆﾎﾝｱﾏﾁﾕｱﾑｾﾝﾚﾝﾒｲ","一般社団法人　日本アマチュア無線連盟","東京都","豊島区","南大塚","３－４３－１","1708073","170  ","豊島",0,0,1
14382,"ｺｳｴｷｻﾞｲﾀﾞﾝﾎｳｼﾞﾝ ﾁﾖｳｺｸﾉﾓﾘｹﾞｲｼﾞﾕﾂﾌﾞﾝｶｻﾞｲﾀﾞﾝ ﾁﾖｳｺｸﾉﾓﾘﾋﾞｼﾞﾕﾂｶﾝ","公益財団法人　彫刻の森芸術文化財団　彫刻の森美術館","神奈川県","足柄下郡箱根町","ニノ平","１１２１","2500493","25004","箱根宮ノ下",0,0,1
15103,"ﾆｲｶﾞﾀｶﾃｲｻｲﾊﾞﾝｼﾖ","新潟家庭裁判所","新潟県","新潟市中央区","川岸町","１丁目５４番１","9518513","951  ","新潟中",0,0,1
16201,"ｷﾀﾆﾂﾎﾟﾝｼﾝﾌﾞﾝｼﾔ ｴｲｷﾞﾖｳｷﾖｸ","北日本新聞社　営業局","富山県","富山市","安住町","２－１４","9308650","930  ","富山南",0,0,1
16202,"ｻﾝｷﾖｳﾀﾃﾔﾏｱﾙﾐ ｶﾌﾞｼｷｶﾞｲｼﾔ","三協立山アルミ　株式会社","富山県","高岡市","早川","７０","9338610","933  ","高岡",0,0,1
16202,"ｻﾝｷﾖｳﾀﾃﾔﾏｱﾙﾐ ｶﾌﾞｼｷｶﾞｲｼﾔ","三協立山アルミ　株式会社","富山県","高岡市","早川","５５０","9338602","933  ","高岡",0,0,1
