13102,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾋﾟ-ｴｽﾐﾂﾋﾞｼ ﾄｳｷﾖｳﾄﾞﾎﾞｸｼﾃﾝ･ﾄｳｷﾖｳｹﾝﾁｸｼﾃﾝ","株式会社　ピーエス三菱　東京土木支店・東京建築支店","東京都","中央区","晴海","２丁目５－２４晴海センタービル２階","1048572","104  ","晴海",0,0,5
13102,"ｺｳﾜｿｳﾔｸ ｶﾌﾞｼｷｶﾞｲｼﾔ","興和創薬　株式会社","東京都","中央区","築地","１丁目１２－６","1048448","104  ","晴海",0,0,5
13102,"ｼﾐｽﾞｹﾝｾﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ","清水建設　株式会社","東京都","中央区","京橋","２丁目１６番１号","1048370","104  ","晴海",0,0,5
13102,"ｼﾞｴｲｴｽｱ-ﾙ ｶﾌﾞｼｷｶﾞｲｼﾔ","ＪＳＲ　株式会社","東京都","中央区","築地","５丁目６－１０","1048410","104  ","晴海",0,0,5
13102,"ﾀｲｾｲﾛﾃﾂｸ ｶﾌﾞｼｷｶﾞｲｼﾔ","大成ロテック　株式会社","東京都","中央区","京橋","３丁目１３－１","1048383","104  ","晴海",0,0,5
13102,"ﾌｼﾞｻﾝｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","富士産業　株式会社","東京都","中央区","京橋","２丁目４番１２号","1048361","104  ","晴海",0,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｻﾞ･ﾊﾟﾌﾞﾘﾂｸｱﾌｴｱ-ｽﾞ","株式会社　ザ・パブリックアフェアーズ","東京都","港区","新橋","４丁目２５－６（銀座郵便局私書箱第１５６０号）","1008668","10091","銀座",1,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｼｴﾂﾄ ﾌｼﾞﾝｶﾞﾎｳｼﾔ","株式会社　アシェット　婦人画報社","東京都","港区","虎ノ門","１丁目２６－５虎ノ門１７森ビル５階（芝郵便局私書箱第３８号）","1058680","105  ","芝",1,0,5
13103,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾖｳｾﾝﾐﾂｲ","株式会社　商船三井","東京都","港区","虎ノ門","２丁目１－１（芝郵便局私書箱第５号）","1058688","105  ","芝",1,0,5
13103,"ﾄﾞｸﾘﾂｷﾞﾖｳｾｲﾎｳｼﾞﾝ ﾃﾂﾄﾞｳｹﾝｾﾂ･ｳﾝﾕｼｾﾂｾｲﾋﾞｼｴﾝｷｺｳ ｺｸﾃﾂｾｲｻﾝｼﾞｷﾞﾖｳﾎﾝﾌﾞ","独立行政法人　鉄道建設・運輸施設整備支援機構　国鉄精算事業本部","東京都","港区","西新橋","２丁目８－６","1058434","105  ","芝",0,0,5
