14133,"ﾐﾂﾋﾞｼﾌｿｳﾄﾗﾂｸ･ﾊﾞｽ ｶﾌﾞｼｷｶｲｼﾔ ｶﾜｻｷｾｲｻｸｼﾖ","三菱ふそうトラック・バス　株式会社　川崎製作所","神奈川県","川崎市中原区","大倉町","１０","2118522","211  ","中原",0,0,1
16204,"ﾊﾟﾅｿﾆﾂｸ ｶﾌﾞｼｷｶﾞｲｼﾔ ｵ-ﾄﾓ-ﾃｲﾌﾞｱﾝﾄﾞｲﾝﾀﾞｽﾄﾘｱﾙｼｽﾃﾑｽﾞｼﾔ ｾﾐｺﾝﾀﾞｸﾀ-ｼﾞｷﾞﾖｳﾌﾞ","パナソニック　株式会社　オートモーティブ＆インダストリアルシステムズ社　セミコンダクター事業部","富山県","魚津市","東山","８００","9378585","937  ","魚津",0,0,1
16204,"ﾊﾟﾅｿﾆﾂｸ･ﾀﾜ-ｼﾞﾔｽﾞｾﾐｺﾝﾀﾞｸﾀ- ｶﾌﾞｼｷｶﾞｲｼﾔ","パナソニック・タワージャズセミコンダクター　株式会社","富山県","魚津市","東山","８００","9378585","937  ","魚津",0,0,1
17201,"ｲｼｶﾜｶﾝｻｼﾂ","石川監査室","石川県","金沢市","上堤町","１－１５","9208796","920  ","金沢中央",0,0,1
17201,"ｶﾌﾞｼｷｶｲｼﾔ ﾕｳﾁﾖｷﾞﾝｺｳ ｶﾅｻﾞﾜｼﾃﾝ","株式会社　ゆうちょ銀行　金沢支店","石川県","金沢市","上堤町","１－１５","9208797","920  ","金沢中央",0,0,1
17201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｶﾝﾎﾟｾｲﾒｲ ｶﾅｻﾞﾜｼﾃﾝ","株式会社　かんぽ生命　金沢支店","石川県","金沢市","上堤町","１－１５","9208797","920  ","金沢中央",0,0,1
17201,"ﾆﾎﾝﾕｳﾋﾞﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎｸﾘｸｼｼﾔ","日本郵便　株式会社　北陸支社","石川県","金沢市","上堤町","１－１５","9208797","920  ","金沢中央",0,0,1
17201,"ﾆﾎﾝﾕｳﾋﾞﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎｸﾘｸｼｼﾔ ﾕｳﾋﾞﾝｼﾞｷﾞﾖｳﾎﾝﾌﾞ (ｻﾝｼﾕ)","日本郵便　株式会社　北陸支社　郵便事業本部　（三種）","石川県","金沢市","上堤町","１－１５","9208793","920  ","金沢中央",0,0,1
17201,"ｼﾞｴｲﾀｲ ｲｼｶﾜﾁﾎｳｷﾖｳﾘﾖｸﾎﾝﾌﾞ","自衛隊　石川地方協力本部","石川県","金沢市","新神田","４丁目３－１０（新神田合同庁舎３階）","9218506","921  ","新金沢",0,0,1
21210,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｹﾁｺﾞﾙﾌｸﾗﾌﾞ","株式会社　明智ゴルフ倶楽部","岐阜県","恵那市","明智町吉良見","字西山９８０－２","5097797","50977","明智",0,0,1
21220,"ﾁﾎｳﾄﾞｸﾘﾂｷﾞﾖｳｾｲﾎｳｼﾞﾝ ｷﾞﾌｹﾝﾘﾂ ｹﾞﾛｵﾝｾﾝﾋﾞﾖｳｲﾝ","地方独立行政法人　岐阜県立　下呂温泉病院","岐阜県","下呂市","森","２２１１","5092292","50922","下呂",0,0,1
23109,"ｾﾞﾝﾛｳｻｲｱｲﾁｹﾝﾎﾝﾌﾞ","全労済愛知県本部","愛知県","名古屋市熱田区","金山町","１丁目１２－７","4568530","456  ","熱田",0,0,1
23205,"ﾐﾂﾋﾞｼﾄｳｷﾖｳﾕ-ｴﾌｼﾞｴｲｷﾞﾝｺｳ ﾊﾝﾀﾞｼﾃﾝ","三菱東京ＵＦＪ銀行　半田支店","愛知県","半田市","広小路町","９０","4758588","475  ","半田",0,0,1
25206,"ﾀﾞｲｷﾝｺｳｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ｼｶﾞｾｲｻｸｼﾖ","ダイキン工業　株式会社　滋賀製作所","滋賀県","草津市","岡本町","大谷１０００番地２","5258526","525  ","草津",0,0,1
27127,"ﾄｳﾎｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","東宝　株式会社","大阪府","大阪市北区","茶屋町","１９番１９号","5308415","530  ","大阪北",0,0,1
28205,"ｽﾓﾄｾﾞｲﾑｼﾖ","洲本税務署","兵庫県","洲本市","山手","１－１－１５","6568656","656  ","洲本",0,0,1
37201,"ｶｶﾞﾜｹﾝﾘﾂ ﾁﾕｳｵｳﾋﾞﾖｳｲﾝ","香川県立　中央病院","香川県","高松市","朝日町","１丁目２－１","7608557","760  ","高松中央",0,0,1
37201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｲﾑ","株式会社　アイム","香川県","高松市","国分寺町新名","６９４－１","7618589","76901","高松南",0,0,1
37201,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｼﾞｴｲｺﾝﾃﾝﾂ","株式会社　Ｊコンテンツ","香川県","高松市","国分寺町新名","６９４－１","7618588","76901","高松南",0,0,1
